-	shop	toolDealer1#hidden	-1,602:300,601:60,501:50,502:200,503:550,504:1200,505:5000,545:150,546:600,547:1650,11522:2500,11523:3000,11524:3500,1750:1,1766:40,1767:3,1755:3,1754:3,1761:10,1773:5,1752:3,1760:10,1759:10,1772:3,1774:5,1757:3,1770:2,1769:10,1765:30,1762:3,1764:20,1776:10,1775:10,1751:3,1768:10,1753:4,1756:3,1758:10,13215:10,13202:30,13200:1,13218:10,7663:200,13217:10,13219:10,13216:10,13220:10,13201:15,13212:750,13210:250,13211:500,13213:1,13214:1,13206:80,7665:1500,13203:80,13207:80,13204:80,13205:80,7664:450,13252:20,13251:10,13253:40,13250:4,13254:100,13256:10,13292:10,13294:100,13259:10,13293:10,13258:10,13257:10,13255:10,18000:100,18002:200,18001:200,18004:500,18003:200,1771:50
mid_camp,245,236,3	script	Tool Dealer::mid_camp_tool_dealer_01	474,{ callshop "toolDealer1#hidden"; end; OnInit: waitingroom " Tool Dealer ",0; }

splendide,200,102,3	script	Tool Dealer::splendide_tool_dealer_01	474,{ callshop "toolDealer1#hidden"; end; OnInit: waitingroom " Tool Dealer ",0; }

umbala,127,140,3	script	Tool Dealer::umbala_tool_dealer_01	474,{ callshop "toolDealer1#hidden"; end; OnInit: waitingroom " Tool Dealer ",0; }

jawaii,184,128,3	script	Tool Dealer::jawaii_tool_dealer_01	474,{ callshop "toolDealer1#hidden"; end; OnInit: waitingroom " Tool Dealer ",0; }

veins,210,108,3	script	Tool Dealer::veins_tool_dealer_01	474,{ callshop "toolDealer1#hidden"; end; OnInit: waitingroom " Tool Dealer ",0; }

yuno,163,167,3	script	Tool Dealer::yuno_tool_dealer_01	474,{ callshop "toolDealer1#hidden"; end; OnInit: waitingroom " Tool Dealer ",0; }
